date,year,month,day,avg_tmp,high_tmp,low_tmp,avg_cloud,day_rain,cloud_cover
2023-01-01,2023,1,1,0.2,3.8,4.3,,,1.3
2023-01-02,2023,1,2,4.5,0.4,7.4,,,0.0
2023-01-03,2023,1,3,5.0,0.6,9.0,,,0.0
2023-01-04,2023,1,4,1.8,3.3,5.7,,,1.9
2023-01-05,2023,1,5,1.6,3.6,5.6,,,3.6
2023-01-06,2023,1,6,0.6,5.7,4.7,,3.9,5.8
2023-01-07,2023,1,7,1.5,3.8,1.4,,0.1,5.6
2023-01-08,2023,1,8,1.3,6.3,3.7,,,3.0
2023-01-09,2023,1,9,3.1,7.0,1.3,,,3.3
2023-01-10,2023,1,10,1.6,9.1,3.9,,,1.4
2023-01-11,2023,1,11,2.6,9.2,2.0,,,1.4
2023-01-12,2023,1,12,5.9,12.5,0.6,,0.0,1.8
2023-01-13,2023,1,13,8.3,10.1,5.1,,37.3,10.0
2023-01-14,2023,1,14,6.6,8.4,3.8,,1.6,9.8
2023-01-15,2023,1,15,0.2,3.8,3.5,,3.2,10.0
2023-01-16,2023,1,16,4.6,1.2,6.8,,0.0,2.8
2023-01-17,2023,1,17,3.7,0.4,7.0,,0.0,8.8
2023-01-18,2023,1,18,1.9,2.2,4.6,,0.0,1.1
2023-01-19,2023,1,19,0.4,4.3,6.0,,1.0,6.3
2023-01-20,2023,1,20,3.3,2.0,7.7,,,0.3
2023-01-21,2023,1,21,4.5,1.5,10.5,,,2.0
2023-01-22,2023,1,22,0.6,2.6,2.8,,0.0,7.5
2023-01-23,2023,1,23,0.8,4.6,6.9,,,5.3
2023-01-24,2023,1,24,14.7,6.9,17.0,,0.0,1.0
2023-01-25,2023,1,25,11.3,5.4,17.3,,0.0,1.6
2023-01-26,2023,1,26,6.0,3.5,9.0,,0.8,8.5
2023-01-27,2023,1,27,7.3,3.8,9.6,,,0.0
2023-01-28,2023,1,28,6.0,0.6,11.2,,0.0,1.0
2023-01-29,2023,1,29,1.8,4.9,8.0,,,2.5
2023-01-30,2023,1,30,0.9,4.2,4.4,,,0.0
2023-01-31,2023,1,31,2.4,7.8,3.5,,,5.4
2023-02-01,2023,2,1,0.9,6.0,3.0,,,2.5
2023-02-02,2023,2,2,2.4,1.4,5.1,,,5.5
2023-02-03,2023,2,3,1.6,3.4,3.9,,,3.0
2023-02-04,2023,2,4,0.2,6.0,5.2,,,0.9
2023-02-05,2023,2,5,1.7,7.1,3.3,,,2.3
2023-02-06,2023,2,6,3.0,8.8,1.7,,,3.6
2023-02-07,2023,2,7,3.5,9.5,0.6,,,3.4
2023-02-08,2023,2,8,2.1,7.8,1.3,,,0.3
2023-02-09,2023,2,9,4.0,9.9,2.8,,0.0,6.5
2023-02-10,2023,2,10,3.8,6.2,1.1,,0.6,6.1
2023-02-11,2023,2,11,2.8,8.5,1.2,,,3.4
2023-02-12,2023,2,12,3.7,7.6,0.9,,,6.9
2023-02-13,2023,2,13,5.9,8.4,2.7,,,7.3
2023-02-14,2023,2,14,1.7,6.6,2.5,,,1.6
2023-02-15,2023,2,15,3.2,8.9,1.2,,,3.9
2023-02-16,2023,2,16,2.3,4.5,0.7,,0.0,5.4
2023-02-17,2023,2,17,3.4,9.8,1.5,,,5.0
2023-02-18,2023,2,18,5.7,8.1,3.0,,,9.9
2023-02-19,2023,2,19,3.5,6.1,0.2,,0.4,3.9
2023-02-20,2023,2,20,0.5,2.4,3.5,,,0.0
2023-02-21,2023,2,21,1.3,4.8,5.3,,,0.1
2023-02-22,2023,2,22,1.2,8.4,4.5,,,5.5
