date,year,month,day,avg_tmp,high_tmp,low_tmp,cloud_cover,day_rain
2024-01-01,2024,1,1,3.3,7.3,0.3,6.4,0.0
2024-01-02,2024,1,2,2.9,4.3,2.2,8.9,0.0
2024-01-03,2024,1,3,1.8,4.0,1.1,6.0,0.6
2024-01-04,2024,1,4,1.4,4.7,3.3,6.1,
2024-01-05,2024,1,5,5.0,9.1,1.4,4.1,0.0
2024-01-06,2024,1,6,0.7,5.2,2.7,2.3,2.4
2024-01-07,2024,1,7,4.4,0.9,8.3,0.1,
2024-01-08,2024,1,8,4.7,0.0,10.3,3.8,
2024-01-09,2024,1,9,0.6,0.4,1.9,8.5,1.6
2024-01-10,2024,1,10,1.0,3.3,4.1,3.1,
2024-01-11,2024,1,11,1.7,4.5,2.4,7.0,
2024-01-12,2024,1,12,0.9,4.2,1.4,0.0,
2024-01-13,2024,1,13,0.4,6.4,3.8,0.3,
2024-01-14,2024,1,14,0.6,2.4,3.3,5.8,3.1
2024-01-15,2024,1,15,3.7,0.9,6.9,0.0,
2024-01-16,2024,1,16,2.1,4.3,7.2,2.3,
2024-01-17,2024,1,17,0.6,1.9,2.3,9.4,9.7
2024-01-18,2024,1,18,4.5,9.4,1.4,4.5,0.5
2024-01-19,2024,1,19,5.4,9.0,4.0,7.0,
2024-01-20,2024,1,20,3.4,4.9,1.9,8.9,0.4
2024-01-21,2024,1,21,1.7,4.3,2.4,9.1,0.4
2024-01-22,2024,1,22,8.7,2.4,11.9,5.0,0.2
2024-01-23,2024,1,23,11.7,8.2,14.0,0.5,
2024-01-24,2024,1,24,8.0,3.7,11.2,0.0,
2024-01-25,2024,1,25,5.3,0.5,9.7,0.0,
2024-01-26,2024,1,26,1.7,4.0,6.9,0.8,
2024-01-27,2024,1,27,0.5,4.6,4.6,2.9,
2024-01-28,2024,1,28,1.5,3.8,5.0,2.0,
2024-01-29,2024,1,29,0.4,4.6,4.8,2.0,
2024-01-30,2024,1,30,1.4,8.1,4.0,2.3,
2024-01-31,2024,1,31,4.7,10.6,0.7,2.6,
2024-02-01,2024,2,1,2.4,8.2,1.3,6.4,
2024-02-02,2024,2,2,3.1,7.9,0.7,5.4,
2024-02-03,2024,2,3,4.7,8.3,0.2,8.4,0.0
2024-02-04,2024,2,4,7.3,12.2,3.7,8.6,
2024-02-05,2024,2,5,2.7,6.6,0.1,10.0,3.9
2024-02-06,2024,2,6,1.2,2.9,0.0,8.8,0.2
2024-02-07,2024,2,7,0.6,2.7,0.9,6.6,0.0
2024-02-08,2024,2,8,0.6,6.2,3.0,2.0,
2024-02-09,2024,2,9,1.1,6.1,2.5,3.3,
2024-02-10,2024,2,10,1.7,7.4,1.5,2.3,
2024-02-11,2024,2,11,1.0,5.5,3.1,2.0,0.0
2024-02-12,2024,2,12,3.5,10.5,2.9,0.3,
2024-02-13,2024,2,13,8.2,13.7,2.0,2.5,
2024-02-14,2024,2,14,12.9,18.3,8.8,7.0,
2024-02-15,2024,2,15,4.5,11.6,0.6,7.6,10.9
2024-02-16,2024,2,16,2.3,8.1,1.5,0.6,
2024-02-17,2024,2,17,4.4,11.7,1.2,0.0,
2024-02-18,2024,2,18,6.2,9.4,1.2,7.1,17.1
2024-02-19,2024,2,19,9.1,11.9,4.2,9.6,8.9
2024-02-20,2024,2,20,4.3,6.8,2.8,9.9,2.6
2024-02-21,2024,2,21,1.9,4.0,0.0,10.0,17.8
2024-02-22,2024,2,22,0.2,1.6,1.1,9.8,8.8
2024-02-23,2024,2,23,1.8,6.1,1.0,5.9,0.4
2024-02-24,2024,2,24,2.0,5.9,1.3,7.4,2.3
2024-02-25,2024,2,25,2.8,5.9,0.8,6.4,1.8
2024-02-26,2024,2,26,3.8,9.7,1.2,2.1,
2024-02-27,2024,2,27,5.3,9.8,1.2,7.5,
2024-02-28,2024,2,28,6.4,10.1,3.2,8.5,
2024-02-29,2024,2,29,4.8,9.6,0.3,6.8,
2024-03-01,2024,3,1,4.1,0.3,7.1,0.0,
2024-03-02,2024,3,2,0.5,4.1,8.1,4.5,0.0
