paper,title,datetime,writing,writer
KBS,"박찬대 “한덕수, 국회 헌법재판관 임명동의안 처리 즉시 임명해야”",2024.12.26. 오전 9:48,"더불어민주당 박찬대 원내대표는 한덕수 대통령 권한대행 겸 국무총리를 향해 국회 본회의에서 헌법재판관 3명에 대한 임명동의안이 처리되면 곧바로 임명할 것을 촉구했습니다.  박 원내대표는 오늘(26일) 국회에서 열린 정책조정회의에서 “한덕수 총리는 국회가 헌법재판관 임명동의안을 이송하는 즉시 일분일초도 지체하지 말고 바로 임명하라”고 말했습니다.  이어 “헌법재판관을 임명하지 않는 건 명백한 위헌 행위이고 12·3 내란 사태를 조속히 끝내지 않겠다는 심각한 반국가 행위”라며 “역사의 반역자, 을사오적의 길을 걷지 말라”고도 말했습니다.  박 원내대표는 “5천만 국민이 한 총리를 지켜보고 있다”며 “오늘까지가 인내할 수 있는 마지막 시한”이라고 덧붙였습니다.  앞서 민주당은 지난 24일 한 대행에 대한 탄핵소추안을 제출하려다 막판에 결정을 뒤집고 26일까지 기다려보겠다며 헌법재판관 임명을 촉구한 바 있습니다.  한편, 국민의힘 새로운 비대위 출범과 관련해 박 원내대표는 “검찰총장 출신 내란수괴로 탄핵된 윤석열과 검사 출신 원내대표 권성동, 검사 출신 비대위원장 권영세는 검사동일체를 넘어선 내란 동일체‘라고 비판했습니다.  그러면서 ”국민의힘이 헌법과 법률에 반해 헌법재판관 임명을 반대하는 이유는 이들이 내란 수괴와 한 몸이기 때문“이라며 ”헌정질서를 파괴하는 공당의 자격이 없다“고 주장했습니다.[사진 출처 : 연합뉴스]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",손서영 (bellesy@kbs.co.kr)
아시아경제,"국정협의체, '한덕수 탄핵' 변수…첫 회의부터 불투명",2024.12.25. 오후 5:51,"野, 한덕수 탄핵소추안 발의 압박내일 첫 회의인데 협의 진전 없어""향후 일정도 차례로 순연 가능성""비상계엄 사태에 따른 탄핵 정국의 혼란을 수습하기 위해 여야와 정부가 머리를 맞대기로 했지만 국정안전협의체는 첫발을 떼기 전부터 차질을 빚게 됐다. 정부를 대표하는 한덕수 대통령 권한대행 겸 국무총리에 대해 야당이 탄핵소추를 예고하고 나선 만큼 당장 26일로 예정된 첫 회의부터 개최 여부가 불투명하다.한덕수 대통령 권한대행 국무총리가 연말연시를 맞아 24일 서울 중부소방서를 방문해 현황 보고를 받고 있다. 연합뉴스국회 관계자는 ""협의체 가동을 위한 실무진 회의가 늦어도 오늘까진 이뤄졌어야 하는데 그러지 못했다""며 ""내일로 예정됐던 협의체 출범 등 향후 일정도 차례로 순연될 가능성이 크다""고 25일 밝혔다. 국민의힘 관계자도 ""실무 단계에서 논의가 전혀 진행되지 않고 있다""며 ""현재로선 협의체 개최가 매우 불투명하다""고 했다.야권에선 국민의힘이 권영세 비상대책위원장을 지명하고 이에 따른 지도부 개편을 진행 중인 게 영향을 줬다는 입장이다. 박성준 민주당 원내수석부대표는 MBC 라디오에서 ""(의제 등) 실무 협의를 하자고 했는데 국민의힘이 준비가 안 됐다""며 ""내일 국정안정 협의체 첫발을 떼기가 상당히 어려울 것""이라고 내다봤다.25일 서울 여의도 국회의사당 정문에 ""총리마저 탄핵합니까? 안정이 우선입니다""라고 적힌 국민의힘의 현수막이 걸려 있다. 연합뉴스정치권에선 한덕수 대행에 대한 탄핵 문제가 협의체 출범에 차질을 초래했다고 보는 시각이 많다. 민주당은 26일로 예정된 본회의에서 국회 추천 몫 헌법재판관 후보자 3명에 대한 임명동의안을 통과시킨 뒤 한 대행이 곧바로 임명 절차를 밟지 않을 경우 그에 대한 탄핵소추안을 발의하겠다고 엄포를 놓은 상황이다.실제 탄핵안을 발의할 경우 한 대행의 국정 수행에 '부적격' 결론을 내린다는 의미가 된다. 그런 한 대행과 협의체에서 마주 앉아 국정에 대한 논의를 나누는 건 여야뿐만 아니라 한 대행의 입장에서도 불편한 그림이 만들어진다. 야권 관계자는 ""탄핵 문제가 풀리지 않으면 협의체 논의도 진전을 보기 힘들다""고 했다.국회 관계자는 ""지금 상황으로는 이번 주 안에 협의체가 가동되기는 쉽지 않아 보인다""고 전망했다.",장희준 기자 junh@asiae.co.kr
이데일리,"국민의힘, 헌법재판관 임명안 표결 불참 결정",2024.12.26. 오후 12:04,"26일 오전 의원총회서 결정…의원 전원 불참에 만장일치권성동 “검사가 판사 고르는 꼴…탄핵심판 무효화될 수도”[이데일리 김응열 기자] 국민의힘이 헌법재판관 임명동의안 표결에 불참한다.권성동 국민의힘 대표 권한대행 겸 원내대표가 26일 오전 서울 여의도 국회에서 열린 의원총회에서 모두발언을 하고 있다. (사진=노진환 기자)권성동 국민의힘 대표 권한대행 겸 원내대표는 26일 오전 서울 국회에서 진행한 의원총회를 마친 뒤 취재진과 만나 “한덕수 대통령 권한대행에게 헌법재판관 임명 권한이 없다는 입장을 여전히 견지하고 있다”며 “그런 차원에서 헌법재판관 인사청문회에 참여하지 않았고 표결도 참여하지 않기로 결정했다”고 밝혔다.권 권한대행은 “당론 결정 절차는 밟지 않았으나 불참하자는 의사에 의원들이 만장일치로 동의했다”고 설명했다.야권 주도로 헌법재판관 임명동의안이 본회의를 통과할 경우 권한쟁의 심판이나 효력정지 가처분 등을 신청할지 여부에 관해서는 “한 권한대행에게 헌법재판관 임명권이 없다고 생각해서, 당에선 관련한 후속 절차를 밟을 계획이 없다”고 언급했다.권 권한대행 의원총회 모두발언에서도 국회 몫 헌법재판관 3명의 임명을 한 권한대행이 할 수 없다는 점을 거듭 강조했다. 권 권한대행은 “국회가 대통령 탄핵 심판의 소추인인데 국회가 헌법재판관을 추천하는 건 검사가 판사를 고르는 것”이라고 지적했다.또 “과거 윤석열 대통령이 검찰총장이던 시절 당시 추미애 법무부장관이 윤 총장 징계처분을 하고나서 징계위원 한 명을 추가 임명했는데 서울고등법원이 헌법상 적정 절차 위반이라고 징계 청구 자체를 무효라고 판시한 바 있다”며 “국회가 추천한 헌법재판관 3인의 임명을 강행하면 탄핵심판 자체가 무효화될 수 있다”고 주장했다.더불어민주당이 추진하는 한 권한대행 탄핵을 두고는 “대통령 권한대행의 탄핵 정족수는 대통령을 기준을 해야 한다”며 “민주당 주장처럼 국회 과반으로 권한대행을 탄핵하면 그다음 권한대행도 과반으로 탄핵이 가능하고 그 결과는 국정초토화”라고 비난했다.그러면서 “민주당이 국정초토화를 불사하며 탄핵을 난사하는 이유는 조기대선으로 이재명 민주당 대표의 사법리스크를 가려보겠다는 것”이라며 “조기대선 단꿈에 빠져있겠지만 악행이 반드시 국민 심판으로 되돌아올 것”이라고 덧붙였다.",김응열(keynews@edaily.co.kr)
뉴시스,"민주, 명태균 녹취 공개…""윤에 대우조선 파업 당장 진압하라고 보고""",2024.12.26. 오전 11:13,"""이영호 부사장 보고서 전달 받아 윤·김에 보고""""내가 보고한 직후 한덕수 총리가 긴급회의 소집""[창원=뉴시스] 차용현 기자 = 김건희 여사 공천 개입 의혹 핵심 당사자인 명태균 씨가 14일 오후 영장실질심사를 받기 위해 경남 창원시 성산구 소재 창원지방법원에 출석하고 있다. 2024.11.14. con@newsis.com[서울=뉴시스]조재완 기자 = 윤석열 대통령 부부 공천개입 의혹 핵심 당사자인 명태균 씨가 2022년 대우조선 하청업체 파업에 대한 정부 대응에 적극 개입했다고 과시하는 녹취가 공개됐다. 민주당은 26일 명 씨가 그해 7월 파업 중이었던 경남 거제 조선소에 가는 도중 지인과 이 같은 내용으로 대화했다며 명 씨 육성이 담긴 녹취 파일을 공개했다.녹취에서 명 씨는 대우조선 측이 제출한 보고서를 토대로 파업을 강경 진압해야 한다는 취지로 윤 대통령과 김건희 여사에게 보고했다고 발언했다. 자신이 보고한 직후 파업 대응을 위해 한덕수 국무총리가 긴급회의를 소집했다고도 말했다. 명 씨는 ""조선소고 뭐고 내용을 잘 모른다. 거기 문제가 심각한데 지난주 대통령한테 내가 보고를 했다""며 ""이영호 부사장인가 내가 보고서를 만들어달라고 했다. (이 부사장이) 만들어주더라고""라고 말했다.이어 ""내가 보고하고 나서 한 총리가 긴급 소집한 것 아니냐. 또 내가 보고했지. 당장 진압하라고""라고 말했다. 그는 ""대통령이 보고해달라고 해서 보고를 했고, 보고하니까 그날 바로 긴급소집하더라""며 ""아래(그저께)는 한동훈 법무부 장관하고 다 불러가지고""라고 했다. 또 ""데모하는 놈은 150명이고 거기 하청 일하는 놈은 만 명인데 150명 때문에 만 명이 다 죽게 생겼던데""라며 ""(피해 규모가) 그게 지금 5700억원 해가지고 이래저래 하면 7000억원이 된다는데 말이 7000억원이지""라고 했다. 명 씨는 ""하여튼 내가 대통령하고 사모님한테 이야기한 게 있어서 보고를 올렸으니까 내가 가서 눈으로 쳐다보기라도 해야지""라며 ""갔다와야 나중에 할 말이라도 있지""라고 했다. 민주당은 명 씨 발언과 당시 정부 대응이 실제 일치했다고 설명했다. 2022년 7월 14일 한 총리 주재로 국정현안점검조정회의가 열렸고, 나흘 뒤엔 당시 한 장관과 추경호 경제부총리 등 관계부처 합동 담화문이 발표됐다. 민주당에 따르면 해당 파일은 같은 달 20일에 녹취됐다. 민주당 측은 ""명씨는 실제 거제 조선소를 방문해 부사장 등 영접을 받았다""며 ""방문 당일 현장에 있었던 이정식 당시 고용노동부 장관도 만난 듯 하다. 주변에 자랑했다고 한다""고 말했다.",조재완 기자(wander@newsis.com)
SBS Biz,"민주당 ""윤 대통령, 수사거부로 시간끌기""…한덕수 탄핵은 유보",2024.12.25. 오후 5:21,"[야6당 의원들이 12일 오전 서울 여의도 국회 의안과에 윤석열 대통령 탄핵 소추안을 제출하고 있다. (사진=연합뉴스)]더불어민주당 등 야권은 오늘(25일) 윤석열 대통령이 고위공직자범죄수사처의 2차 출석 요구에 불응한 것과 관련해 구속수사를 촉구했습니다.한덕수 대통령 권한대행 국무총리에 대해선 국회 몫 헌법재판관 3인을 임명할 때까지 탄핵을 유보하기로 했습니다.한민수 민주당 대변인은 이날 브리핑에서 ""내란수괴 윤석열이 또 다시 공수처의 출석 요구를 거부했다""고 지적했습니다.이어 공수처에 ""반복되는 출석요구와 수사 지연은 국민의 불신만 초래할 뿐""이라며 ""사건의 엄중함을 직시하고 즉시 내란수괴에 대한 체포와 구속수사를 진행하라""고 촉구했습니다.민주당은 전날 한 권한대행 국무총리 탄핵안을 발의 직전에 유보했습니다.대통령 탄핵절차를 위해선 앞서 한 권한대행이 사실상 거부한 특검법 공포보다 헌법재판관 임명이 더 중요하다고 판단한 겁니다.민주당은 오는 27일 오전까지 상황을 지켜보고, 이때까지도 한 권한대행이 헌법재판관을 임명하지 않는다면 같은 날 한 권한대행에 대한 탄핵안을 발의할 것으로 예상됩니다.탄핵안은 보고된 시점부터 24시간 이후 72시간 이내에 표결돼야 하므로 이 경우 다음 주 월요일인 30일에 탄핵안 표결이 이뤄질 것으로 보입니다.한 권한대행 탄핵안이 본회의를 통과할 경우, 최상목 부총리 겸 기획재정부 장관이 그 뒤를 이어 대통령 권한대행을 맡게 됩니다.이와 관련해 박범계 민주당 의원은 한 라디오 인터뷰에서 ""비상계엄 전 (국무위원이 모였을 때) 계엄에 가장 강하게 반대한 점 등을 보면 한 권한대행보다는 낫지 않겠나""라고 말하기도 했습니다.당신의 제보가 뉴스로 만들어집니다.SBS Biz는 여러분의 제보를 기다리고 있습니다.홈페이지 = https://url.kr/9pghjn",정광윤 기자(jky@sbs.co.kr)
데일리안,"""적 일격필살""…F-35A 조종사 최초 탑건 탄생",2024.12.26. 오전 11:28,"17전비 정시형 소령공군 공중사격대회서1200점 만점에 1180점 기록공군은 26일 '제17전투비행단 제151전투비행대대 정시형 소령(34)이 올해 실시된 '공군 공중사격대회'에서 가장 우수한 성적을 거둬 F-35A 조종사로서는 최초로 '탑건(Top Gun)'에 선정됐다'고 전했다. ⓒ공군[데일리안 = 강현태 기자] 공군은 26일 ""제17전투비행단 제151전투비행대대 정시형 소령(34)이 올해 실시된 '공군 공중사격대회'에서 가장 우수한 성적을 거둬 F-35A 조종사로서는 최초로 '탑건(Top Gun)'에 선정됐다""고 전했다.탑건은 공군 공중사격대회 공중사격 분야에서 최고의 성적을 기록한 '공군 최고의 명사수 조종사'에게 부여되는 칭호다.공군에 따르면, 정 소령은 지난 8월부터 10월까지 진행된 공군 공중사격대회에서 개인점수 총 1200점 만점 중 1180점을 기록했다.공군은 ""정 소령이 이끈 F-35A 편조가 실전적 임무계획을 바탕으로 우발 상황에 대비한 공격임무를 완벽하게 수행하고, 공대지 폭격 실시 이후 지대공·공대공 복합위협 상황에서 전장을 이탈해야 하는 임무를 가장 신속하게 수행해 내며 높은 평가를 받았다""고 전했다.2021년부터 일부 종목에 시범적으로 참여해 온 F-35A가 전 종목에서 타 기종과 나란히 경쟁한 것은 이번이 처음이다.정 소령은 2015년부터 6년간 제11전투비행단에서 F-15K 조종사로 활약하다가 2020년 F-35A로 기종을 전환한 후 17전비에서 임무를 수행하고 있다. 현재 주기종인 F-35A 331시간을 포함해 총 1373시간의 비행시간을 보유하고 있는 베테랑 조종사라는 게 공군의 설명이다.앞서 정 소령은 2018년 F-15K 조종간을 붙잡고 미국 측 공중급유를 통해 태평양을 무중단 횡단하는 '레드 플래그 알래스카(Red Flag Alaska)' 훈련에 참가한 바 있다.올해는 F-35A로 미국 측 F-22와 연합공중훈련을 실시하는 등 다양한 연합훈련을 경험하기도 했다.정 소령은 현재 대대의 안전편대장으로서 항공기 결함 분석과 안전대책 수립 등 안정적인 작전 수행을 위한 공중·지상안전 업무를 담당하고 있다.정 소령은 ""'원팀(One Team)'으로 함께 임무를 수행한 후배 조종사들의 헌신적 노력과 선배 조종사들의 아낌없는 조언, 그리고 최상의 기체를 유지하기 위해 밤낮없이 노력하는 정비·무장요원들 덕분에 '탑건'이라는 최고의 영예를 얻게 됐다""고 말했다.그러면서 ""앞으로도 공군 정예 전투조종사로서 언제든 국가와 국민을 지키기 위해 적을 일격필살할 수 있도록 비행훈련과 연구에 정진하겠다""고 덧붙였다.정 소령은 이날 공군호텔에서 열리는 '2024년 공군 공중사격대회 시상식'에서 이영수 공군참모총장으로부터 탑건 기념명패를 수상한다. 해당 명패는 공군본부 내 '역대 탑건 수상자 게시판'에 전시된다.이날 행사에선 기종별 최우수 조종사, 공중사격 최우수 단체를 비롯해 공중투하·탐색구조·항공정찰 등 분야별 최우수 조종사에 대한 시상도 진행된다.		",강현태 기자 (trustme@dailian.co.kr)
머니투데이,"군, '용현파' 계엄 목표 북풍 세팅 의혹에 ""사실 아냐…강력 유감""",2024.12.26. 오전 11:19,"[the300][서울=뉴시스] 최진석 기자 = 김용현 국방부 장관과 김명수 합참의장이 27일 서울 용산 대통령실 청사에서 열린 중장 진급·보직 신고 및 삼정검 수치 수여식에서 참석하고 있다. 2024.11.27. myjs@newsis.com /사진=최진석군이 김용현 전 국방부 장관과 그 측근들이 비상계엄 선포의 명분을 쌓으려 북한의 국지도발을 유도했다는 의혹에 대해 부인했다. 합동참모본부는 26일 출입기자단에 ""음해성 내용에 대해 강력한 유감을 표하며 정확한 사실 확인 후 책임 있는 보도를 해주시길 요청한다""고 공지했다.12·3 비상계엄 사태 직후부터 정치권에서는 김 전 장관이 오물 풍선 원점 타격 등 작전을 통해 북한과 국지전을 일으키려 했다는 의혹이 나왔다. 정당한 비상계엄 선포를 위해서다. 다만 김명수 합참의장이 이를 반대해 계획대로 이뤄지지 않았다는 주장이다. 이와 관련해 모 매체는 김 전 장관이 대북 포격 작전을 위한 지휘계통에 '범용현파'인 강호필 지상작전사령관-이승오 합참 작전본부장-안찬명 합참 작전부장-정상진 합참 합동작전 과장 등 육사 라인을 배치했다고 보도했다. 합참은 ""예하 부대에 수차례에 걸쳐 발사 직전까지 대북 포사격을 준비했다는 주장은 사실이 아니다""라며 ""우리 군은 적 도발에 즉각적으로 대응 사격할 화력 대비 태세를 갖추고 있으며, 오물·쓰레기 풍선 상황에서 합참과 예하 부대는 절차에 따라 상황을 관리했다""고 밝혔다. 그러면서 ""특히 '김 의장이 망설이면서 실제 포격으로 이어지지 않은 경우가 허다했다'는 보도는 전혀 사실이 아니다""라며 ""군은 오물·쓰레기 풍선 상황에서 실제 포격을 검토한 적 없다""고 강조했다. '범용현파' 의혹에 대해서도 ""군에 사조직은 없다. 우리 군의 인사는 전문성과 능력을 고려해 시행한다고 알고 있다""며 ""지상작전사령관, 작전본부장 등 근거 없이 거론하는 것은 심각한 명예훼손이므로 필요한 조치를 검토하고 있다""고 했다.합참은 ""적 도발에 대한 대비는 군의 존재 이유이자, 가장 기본적인 임무""라며 ""군사대비태세 차원의 활동을 본래의 취지대로 보도해 주시면 국민이 안심하실 수 있을 것""이라고 밝혔다. 다만 군의 이같은 해명에도 논란은 쉽게 가라앉지 않을 것으로 보인다. 경찰 국가수사본부 특별수사단은 비상계엄 사태의 비선조직으로 지목된 노상원 전 정보사령관의 수첩에서 '북방한계선(NLL)에서 북의 공격을 유도한다'라는 내용을 확인하고 북풍 공작의 실체를 조사하고 있다.한편 국가정보원(국정원)이 비상계엄 선포를 약 한달 앞두고 백령도에서 북한이 띄운 쓰레기 풍선을 '레이싱 드론'으로 여러차례 격추했다는 이날 한겨레신문 보도에 대해 국정원은 ""명백한 오보""라고 반박했다. 국정원은 ""북한 오물풍선을 격추한 바 없으며, 707특임단의 협조를 받은 적도 전혀 없다""고 밝혔다.",안채원 기자 (chae1@mt.co.kr)
동아일보,151명 vs 200명… ‘韓 탄핵 정족수’ 충돌,2024.12.25. 오전 1:41,"[탄핵 정국]野 “총리, 200명 아닌 151명때 가결”권성동 “대통령에 준해 200명 필요”우원식 “정족수 일차적 판단 의장몫”더불어민주당이 24일 한덕수 대통령 권한대행에 대한 탄핵안 발의를 예고하면서 권한대행 탄핵소추 요건을 둘러싸고 여야 공방이 격해지고 있다.  민주당은 “한 권한대행의 법적 신분이 대통령이 아닌 국무총리”라며 국무총리 탄핵소추 정족수인 재적 의원 과반(151명) 찬성을 주장하고 있다. 이재명 대표는 이날 “권한대행이라는 직책은 없다. 대통령의 권한을 대행하는 국무위원이 있을 뿐”이라고 했다. 반면 국민의힘은 “대통령 권한대행은 대통령에 준하는 지위”라며 대통령과 같이 재적 의원 3분의 2(200명) 이상 찬성이 필요하다는 입장이다. 권성동 대표 권한대행은 “국회에서 (재적 의원) 2분의 1 이상이 찬성하더라도 명백한 헌법 위반이므로 한 권한대행은 직무를 변함없이 수행해야 한다”고 말했다. 국민의힘은 한 권한대행의 탄핵안이 151명 과반 찬성으로 가결될 경우 헌법재판소에 권한쟁의심판을 청구할 계획이다. 헌법 65조는 대통령, 국무총리, 국무위원 등에 대한 탄핵은 규정하고 있지만 대통령 권한대행에 대해선 규정하고 있지 않다.  민주당 출신인 우원식 국회의장도 이날 “최근 국회 기관인 입법조사처가 국회의원의 질의에 답변하는 형식으로 의견을 낸 것으로 안다”며 “이런 점 등을 잘 참고해 판단하겠다”고 밝혔다. 우 의장은 “(의결 정족수에 대한) 일차적 판단은 의장이 한다”고 강조했다. 국민의힘이 추천한 조한창 헌법재판소 재판관 후보는 이날 국회 인사청문회에서 ‘국회 입법조사처의 국무총리 시절 문제로 탄핵할 경우 재적의원 과반 찬성이면 가능하다는 해석을 어떻게 보는가’라는 민주당 박주민 의원의 질의에 “국무총리 직무에 대해선 (재적의원 과반 찬성이) 헌법상 탄핵 요건으로 맞는 것 같다”고 했다.",박훈상 기자 tigermask@donga.com
조선일보,"與 추천 헌법재판관 후보 ‘계엄 위헌’ 말하자… 野, 적격 의견",2024.12.26. 오전 12:56,"野 “정치적 편향성 크게 없어보여”… 청문회 뒤 곧바로 청문보고서 채택조한창 헌법재판소 재판관 후보자가 24일 오전 서울 여의도 국회에서 열린 인사청문회에 출석해 의원 질의에 답하고 있다./뉴스1										더불어민주당은 지난 24일 조한창 헌법재판관 후보자에 대한 인사 청문회를 마치고 곧바로 청문 보고서를 채택했다. 민주당은 자기들이 추천한 마은혁·정계선 헌법재판관 후보자뿐 아니라 국민의힘이 추천한 조 후보자에 대해서도 ‘적격(適格)’ 의견을 냈다. 민주당에선 “조 후보자 청문회 답변을 보니 탄핵 심판 심리에 참여해도 큰 문제가 없을 것 같다”는 말이 나왔다.민주당 등 야당 청문위원들은 24일 인사 청문회에서도 조 후보자 답변에 만족해하는 분위기였다. 조 후보자는 12·3 비상계엄 사태와 관련해 “(계엄으로 국회 기능을 마비시키는 것은) 규정에 없는 것으로 알고 있다”며 “규정에 없는 부분은 위헌적으로 볼 여지가 있다”고 했다. 조 후보자는 또 계엄 선포 당시 상황에 대해 “(계엄 선포 요건인) 전시·사변 상황은 아니었던 것으로 생각한다”고 했다. 또 비상계엄 선포 발표된 ‘포고령 1호’와 관련해 “(윤석열 대통령에게) 불리한 증거가 될 가능성이 있다”고 했다. 그는 일각에서 제기하는 ‘부정선거 의혹’과 관련해서도 “여러 사건을 통해 근거가 없는 것으로 드러났다”고 했다.조 후보자는 전현직 판사들이 계엄군의 체포 대상에 올랐다는 보도와 관련해 “사법부의 독립을 침해하는 중대한 사건”이라며 “(사실이라면) 국헌 문란 여부에 대한 판단에 자료로 사용될 수 있을 것”이라고 했다. 그는 대통령의 통치 행위도 사법적 심사 대상이 될 수 있는지와 관련해서는 “(될 수 있다고 본) 대법원의 판례를 존중하고 그렇게 생각한다”고 했다. 그는 또 “헌법재판관이 9명으로 구성되는 것이 합당하다”고 했고, 대통령 권한대행이 재판관을 임명할 수 있는지와 관련해서는 “적법한 절차를 준수했다면 헌법에 부합하다”고 했다.민주당은 조 후보자의 청문회 답변으로 볼 때 그가 헌법재판관으로 임명돼도 윤 대통령 탄핵 심판에서 자기들에게 불리하게 작용하지 않을 것으로 보고 있다. 헌법재판관 인사청문특위에 참여한 한 야당 의원은 “조 후보자의 비상계엄과 관련한 답변을 보면 정치적 편향성은 크게 없어 보인다”고 했다. 민주당 일각에선 오히려 국민의힘 추천인 조 후보자가 재판관으로 임명돼 윤 대통령 탄핵안 심리에 참여하면 ‘인용’ 가능성이 커질 것으로 기대하는 분위기다. 민주당에선 조 후보자가 2015년 서울행정법원 수석부장판사로 재직할 때 법원행정처 간부의 요구 사항을 한 재판장에게 전달했다는 의혹도 헌법재판관 결격 사유가 되지는 않는다고 봤다.",김상윤 기자 tall@chosun.com
JTBC,"박지원 ""거국내각 총리 제안받고, 윤석열 임기연장 음모라 거절""",2024.12.25. 오후 4:02,"박지원 더불어민주당 의원. 〈사진=연합뉴스〉 더불어민주당 박지원 의원이 내각제 개헌이나 거국내각 구성에 대한 논의에 대해 ""윤석열 대통령의 임기 연장과 재집권을 노린 음모""라고 비판했습니다.  박 의원은 오늘(25일) 유튜브 채널 '김어준의 뉴스공장'에 출연해 이같이 밝혔습니다.  그는 ""거국내각을 논의하는 사람들은 누가 총리가 돼야 한다는 (얘기까지 한다)""며 ""저에게도 (제안이) 들어왔다""고 밝혔습니다.  비상계엄 사태 이후 윤 대통령과 가까운 인사로부터 거국내각 총리직을 제안받았지만 거절했다는 취지입니다.  박 의원은 ""비상계엄 사태 전에 강력하게 개헌 필요성을 주장했기 때문에 저한테 그런 제안을 한 것 아니겠냐""며 ""(제안받은 장소인) 소공동 롯데호텔 귀빈실 탁자를 치고 나왔다""고 설명했습니다.  박 의원은 또 ""민주당 인사 중에서도 과거 4년 중임제나 거국내각을 주장한 사람들이 있으니, 이들을 끌어들여 거국내각으로 가고 개헌 움직임을 만들어내려는 게 저들의 작전""이라며 ""개헌과 거국내각 제안은 내란·외환의 우두머리 윤석열의 임기를 연장하려는 음모""라고 거듭 강조했습니다. ",박지윤 기자 (park.jiyoon@jtbc.co.kr)
