기사제목,기사링크,section
포스코이앤씨 대표이사 사장에 정희민 건축사업본부장 선임,https://n.news.naver.com/mnews/article/366/0001042337,경제
내년 실손보험료 평균 7.5% 인상,https://n.news.naver.com/mnews/article/082/0001304349,경제
"소비심리, 계엄 사태에 금융위기 수준 악화",https://n.news.naver.com/mnews/article/055/0001217875,경제
여행플랫폼 만족도 1위 ‘여기어때’·고객응대 최하점 받은 ‘이곳’ 최하위,https://n.news.naver.com/mnews/article/009/0005418678,경제
"한은 ""환율 전망 어렵지만, 금융기관 건전성에 큰 영향 없어""",https://n.news.naver.com/mnews/article/421/0007984348,경제
올해 가을배추 116만t 생산…작년보다 6.3% 감소,https://n.news.naver.com/mnews/article/001/0015121189,경제
작년 프랜차이즈 가맹점 매출 108조 돌파…생맥주·주점 25%↑,https://n.news.naver.com/mnews/article/003/0012979146,경제
"고려아연, 임시주총서 이사 수 19명 제한 추진",https://n.news.naver.com/mnews/article/366/0001042339,경제
"한은 ""역성장에 집값까지 떨어지면 대출 연체 가구 2.5%→5.1%""",https://n.news.naver.com/mnews/article/055/0001217920,경제
한남3구역에 6천 세대 '미니 신도시급' 단지 들어선다,https://n.news.naver.com/mnews/article/055/0001217857,경제
"""삼성전자 마구 던져"" 10조 넘게 판 외인…'이 종목'은 담았다",https://n.news.naver.com/mnews/article/008/0005132822,경제
"""연금저축 67%는 미국 주식 선호""",https://n.news.naver.com/mnews/article/014/0005286758,경제
불경기에 주요그룹 임원 승진 10% 줄어…한화는 37.4% 급감,https://n.news.naver.com/mnews/article/028/0002723349,경제
"텔레그램, 창업 11년 만에 '첫 흑자'…""연 매출 1.4조 넘었다""",https://n.news.naver.com/mnews/article/015/0005074005,경제
‘5M 트리’에 소원이 주렁주렁…카카오뱅크 성수 ‘모임아지트’ 팝업[가봤어요],https://n.news.naver.com/mnews/article/243/0000070183,경제
예외 없이 또 오르네…내년 실손보험료 평균 7.5% 인상,https://n.news.naver.com/mnews/article/469/0000840393,경제
"MBK·영풍 ""고려아연 집중투표제 도입 안건은 위법"" [시그널]",https://n.news.naver.com/mnews/article/011/0004431739,경제
[ET라씨로] '오징어게임2' 기대감에 올랐던 아티스트유나이티드… 이정재 지분 매각 소식에 급락,https://n.news.naver.com/mnews/article/030/0003270774,경제
"""해외주식 없었으면 어쩔뻔""… 카카오증권, 약 3년만에 예수금 1조 넘어",https://n.news.naver.com/mnews/article/417/0001047481,경제
“트럼프 시대  진짜 유망 투차처는?”…SC제일은행의 투가 가이드,https://n.news.naver.com/mnews/article/009/0005418875,경제
"MBK-영풍 ""고려아연 집중투표제, 법률적 문제있는 주주제안""[fn마켓워치]",https://n.news.naver.com/mnews/article/014/0005286750,경제
"포스코이앤씨, 4.7조 도시주택 수주 성과 '정희민 대표' 내부승진 발탁",https://n.news.naver.com/mnews/article/293/0000061967,경제
"앞뒤로 한강·남산 품은 한남3구역, 2026년 첫 삽 뜬다",https://n.news.naver.com/mnews/article/417/0001047477,경제
'여의도 한양' 56층으로 재건축… 신통 첫 통합심의 완료,https://n.news.naver.com/mnews/article/366/0001042494,경제
"포스코이앤씨, '건설 본업' 정희민 사장 선임",https://n.news.naver.com/mnews/article/648/0000031840,경제
건설사 10곳 중 8곳 CEO 교체… 내년 과제 '비용절감·리스크 관리',https://n.news.naver.com/mnews/article/366/0001042492,경제
대주주 지배력 높이는 ‘자사주 마법’ 막는다…31일 시행,https://n.news.naver.com/mnews/article/032/0003341262,경제
1기 신도시 재건축 갈등 격화…야탑 이주단지 계획에 주민 반대 '암초',https://n.news.naver.com/mnews/article/014/0005286746,경제
'대왕고래' 정부 몫 늘린다...조광료율 33%로 상향,https://n.news.naver.com/mnews/article/243/0000070180,경제
"""외산담배 안팔아요"" KT&G, 고속도로휴게소 담배 독점 논란",https://n.news.naver.com/mnews/article/293/0000061966,경제
"'한국판 아자부다이힐스'  1.75조 본 PF 성공....세운 3-2, 내년 3월 착공 [부동산아토즈]",https://n.news.naver.com/mnews/article/014/0005286745,경제
LP 평가 무용론···1300억 날린 신한證도 ‘B등급’ [fn마켓워치],https://n.news.naver.com/mnews/article/014/0005286743,경제
"'최정우 색' 지우는 장인화 포스코홀딩스 회장, 이주태‧천성래 '전진배치'",https://n.news.naver.com/mnews/article/293/0000061965,경제
"美 해군 함정 MRO 시장 확대…""HD현대, 전열 다진다""",https://n.news.naver.com/mnews/article/003/0012979419,경제
"“급하니 빨리 송금해줘”…은행 창구서 화내던 고객, 보이스피싱 인출책이었다",https://n.news.naver.com/mnews/article/009/0005418862,경제
美 조선업 강화법에 ‘SOL 조선TOP3 플러스’ 신고가,https://n.news.naver.com/mnews/article/009/0005418861,경제
"유찰 유찰 유찰…‘공공 공사’ 공사비 30% 급등에 국책사업 차질, 대책은?",https://n.news.naver.com/mnews/article/009/0005418860,경제
"“3만원씩 9년” 이시언, 청약통장의 기적…25억 ‘한강뷰’ 아파트 입성",https://n.news.naver.com/mnews/article/081/0003506001,경제
"美도 도와주는 K-조선...""국내서도 힘 실어줘야""",https://n.news.naver.com/mnews/article/119/0002907498,경제
출렁인 비트코인...알트코인은 강세 [매일코인],https://n.news.naver.com/mnews/article/009/0005418859,경제
내년 실손보험료 7.5% 오른다…4세대는 13%↑,https://n.news.naver.com/mnews/article/277/0005522765,경제
"국민 과반, 사모펀드에 '부정적' 인식…""산업 경쟁력 해쳐""",https://n.news.naver.com/mnews/article/648/0000031839,경제
"“해외직구 하려다 깜짝 놀랐다”…달러당 원화값, 어디까지 갈까",https://n.news.naver.com/mnews/article/009/0005418851,경제
