약국명,주소,전화번호
100세건강약국,"서울특별시 강남구 헌릉로571길 7, 강남레체 1층 101호 (세곡동)",02-445-1460
100세약국,"서울특별시 영등포구 양평로 24, (당산동6가)",02-2678-8217
13층약국,"서울특별시 중구 서소문로 116, 유원빌딩 1304호 (서소문동)",070-7718-1316
152약국,"서울특별시 마포구 백범로 152, 201동 14호 (공덕동, 공덕파크자이)",02-717-0152
1898광장약국,"서울특별시 중구 명동길 74, 카톨릭회관 신관 B113호 (명동2가)",02-0000-0000
1번약국,서울특별시 구로구 구로동로 132 (구로동),02-851-1155
1번약국,서울특별시 관악구 남부순환로 1832 1층,02-872-7583
1번출구새싹약국,"서울특별시 노원구 화랑로 337, 102호 (월계동)",02-919-7167
1층메디컬약국,"서울특별시 금천구 시흥대로 214, 비즈메드빌딩 1층 102호 (시흥동)",02-891-1112
1층엔약국,"서울특별시 강남구 강남대로 624, ICT TOWER 1층 일부호 (신사동)",02-518-3014
1층천호약국,"서울특별시 강동구 천호대로 1006, 브라운스톤천호 105호 (성내동)",02-478-1178
1층호약국,"서울특별시 노원구 한글비석로 383, 1층 일부호 (중계동, 삼창타워프라자)",02-933-9487
21C세계로약국,"서울특별시 강서구 화곡로 173 , 1층",02-2607-0624
21세기고려약국,서울특별시 성북구 고려대로 80 (안암동5가),02-929-9696
21세기메디칼약국,서울특별시 성동구 무수막길 97 (금호동2가),02-2252-6626
21세기상계약국,서울특별시 노원구 동일로 1548 (상계동),02-937-2288
21세기약국,서울특별시 영등포구 여의대방로 177  (신길동),02-2678-2854
21세기약국,서울특별시 관악구 신림로 370 (신림동),02-888-2272
21세기약국,"서울특별시 광진구 용마산로 49, (중곡동)",02-2201-9469
2층다온약국,"서울특별시 성북구 길음로 11, 근린생활시설동2층 226호 (길음동, 길음역롯데캐슬트윈골드아파트)",02-915-0022
2층바른약국,"서울특별시 중구 다산로11길 3, 약수JK빌딩 2층 (신당동)",02-2233-6267
2층소망약국,"서울특별시 양천구 월정로 50, 209호 (신월동, 청솔아파트)",02-2608-8096
2층스타약국,"서울특별시 은평구 통일로 1034, 2층 210호 (진관동, 은평 스카이뷰 자이)",02-357-8889
2층써밋약국,"서울특별시 용산구 한강대로 69, 상가동 2층 222-2호 (한강로2가, 용산푸르지오써밋)",02-797-8920
2층약국,"서울특별시 강남구 개포로 303, 상가동 2층 207호 (개포동, 현대1차아파트)",02-2057-2003
2층은약국,"서울특별시 서초구 서초중앙로 230, 2층 208호 (반포동, 동화반포프라자상가)",02-535-5524
2층은약국,"서울특별시 동작구 현충로 75, 원불교100년기념관 (흑석동)",02-6484-8248
2층정약국,"서울특별시 영등포구 여의대방로 383, 경도빌딩 2층 215,216호 (여의도동)",02-780-0304
2층종로약국,"서울특별시 은평구 통일로 856, 메트로타워 2층 2101~2103호 (불광동)",02-525-5603
2층초록약국,"서울특별시 영등포구 영중로 12, 에쉐르아이 시네마 쇼핑몰 지상 2층 (영등포동3가)",02-2634-2346
2층하늘약국,"서울특별시 마포구 월드컵북로 230, 201호 (중동, 현대상가)",02-303-4290
2호선아산나나약국,"서울특별시 송파구 오금로 20, 잠실나루역 1층 002호 (신천동)",02-417-3222
365 새누리약국,"서울특별시 양천구 등촌로 32, 목동태영프라자 102호 (목동)",02-2648-1858
365강남역약국,"서울특별시 강남구 강남대로 지하396, 강남역 103-104호 (역삼동)",02-554-5628
365고운약국,"서울특별시 서초구 서초중앙로22길 25, 118호 (서초동, 서초리시온)",02-582-4815
365구생약국,"서울특별시 은평구 통일로 739, 1층 (대조동)",02-353-1144
365그랜드약국,"서울특별시 금천구 시흥대로62길 29, 1층 (시흥동)",02-896-1223
365그린약국,"서울특별시 강서구 강서로 43, B104호 (화곡동, 도양라비앙타워)",02-2602-8006
365마트약국,"서울특별시 영등포구 영중로 125, 롯데마트 1층 (영등포동8가)",02-2633-4865
365미소약국,"서울특별시 은평구 진관3로 11, 1층 (진관동, 은평뉴타운 힐데스하임)",02-387-1123
365밝은약국,"서울특별시 중랑구 면목로39길 8, 한성빌딩 (면목동)",02-435-0365
365백화점온누리약국,"서울특별시 은평구 연서로 257, 1층 (불광동)",02-388-8811
365샘약국,"서울특별시 강서구 양천로 424, 가양역 데시앙플렉스 지식산업센터 131호 (등촌동)",02-2054-6949
365서초메트로약국,"서울특별시 서초구 서초대로 지하233, 서초역 지하1층 106호 (서초동)",050-713-3435
365송파고은약국,"서울특별시 송파구 오금로 95, 국제빌딩 1층 (방이동)",02-417-0503
365시티약국,"서울특별시 중랑구 용마산로 670, B동 219호 (망우동, 신내역 프라디움 더 테라스)",02-6958-8909
365약국,"서울특별시 성북구 동소문로 321, 1층 (길음동)",02-985-1365
365약국,"서울특별시 중랑구 면목로 지하407, 면목역 지하1층 108호 (면목동)",02-2208-0365
365역삼역약국,"서울특별시 강남구 테헤란로 지하156, 역삼역 2호선 지하상가 127호 (역삼동)",050-71424-0368
365열린약국,서울특별시 관악구 남부순환로 1615 (신림동),02-874-2332
365열린약국,"서울특별시 강서구 공항대로41길 52, 버들빌딩 1층 (등촌동)",02-3661-3650
365열린약국,"서울특별시 영등포구 영중로 119, 리마크빌 영등포 2층 204-2호 (영등포동8가)",02-2633-2800
365열린약국,"서울특별시 양천구 목동중앙북로4길 6, 1층 108호 (목동)",02-6737-0365
365열린약국,"서울특별시 강남구 삼성로 14, 2층 216-2호 (개포동, 개포자이 프레지던스)",02-459-2005
365열린약국,"서울특별시 구로구 남부순환로97길 3, KS프리미어빌딩 105호 (개봉동)",02-3666-0784
365열린약국,"서울특별시 마포구 백범로 199, 메트로디오빌 103A호 (신공덕동)",02-6010-2720
365올리브약국,"서울특별시 강북구 도봉로 242, 한국전력 강북성북지사 1층 (미아동)",02-985-9989
365자양미소약국,"서울특별시 광진구 뚝섬로 606, 1층 (자양동)",02-453-7985
365정화약국,"서울특별시 노원구 상계로 59, 동익빌딩 1층 7,8호 (상계동)",02-935-4869
365종로약국,"서울특별시 동대문구 전농로 60-1, 1층 (답십리동)",02-2215-8704
365중앙약국,"서울특별시 영등포구 디지털로37길 27, 대덕빌딩 1층 (대림동)",02-000-0000
